sp,lon,lat
"Thalurania furcata (J.F.Gmelin, 1788)",-73.19037,-4.33294
"Thalurania furcata (J.F.Gmelin, 1788)",-77.41534,-1.01418
"Thalurania furcata (J.F.Gmelin, 1788)",-77.42602,-0.99789
"Thalurania furcata (J.F.Gmelin, 1788)",-77.41275,-1.01508
"Thalurania furcata (J.F.Gmelin, 1788)",-77.42043,-1.01362
"Thalurania furcata (J.F.Gmelin, 1788)",-75.03468,-10.06378
"Thalurania furcata (J.F.Gmelin, 1788)",-38.93615,-4.26736
"Thalurania furcata (J.F.Gmelin, 1788)",-49.13862,-16.44319
"Thalurania furcata (J.F.Gmelin, 1788)",-38.93295,-4.26155
"Thalurania furcata (J.F.Gmelin, 1788)",-47.7726,-14.18212
"Thalurania furcata (J.F.Gmelin, 1788)",-77.7363,-0.68796
"Thalurania furcata (J.F.Gmelin, 1788)",-49.12258,-16.43171
"Thalurania furcata (J.F.Gmelin, 1788)",-77.7198,-0.71581
"Thalurania furcata (J.F.Gmelin, 1788)",-52.69193,5.11403
"Thalurania furcata (J.F.Gmelin, 1788)",-77.61593,-1.06926
"Thalurania furcata (J.F.Gmelin, 1788)",-50.8566,-16.80248
"Thalurania furcata (J.F.Gmelin, 1788)",-77.97934,-1.52397
"Thalurania furcata (J.F.Gmelin, 1788)",-73.6231,4.23883
"Thalurania furcata (J.F.Gmelin, 1788)",-38.96373,-4.24387
"Thalurania furcata (J.F.Gmelin, 1788)",-43.82634,-20.01808
"Thalurania furcata (J.F.Gmelin, 1788)",-38.93169,-4.26724
"Thalurania furcata (J.F.Gmelin, 1788)",-73.5936,-4.44809
"Thalurania furcata (J.F.Gmelin, 1788)",-73.5929,-4.44813
"Thalurania furcata (J.F.Gmelin, 1788)",-77.76513,-0.96919
"Thalurania furcata (J.F.Gmelin, 1788)",-77.63351,-5.68252
"Thalurania furcata (J.F.Gmelin, 1788)",-52.67568,5.16025
"Thalurania furcata (J.F.Gmelin, 1788)",-48.82882,-18.34005
"Thalurania furcata (J.F.Gmelin, 1788)",-76.35864,-6.45655
"Thalurania furcata (J.F.Gmelin, 1788)",-49.26085,-16.60423
"Thalurania furcata (J.F.Gmelin, 1788)",-72.90668,-12.39625
"Thalurania furcata (J.F.Gmelin, 1788)",-77.9029,-1.02062
"Thalurania furcata (J.F.Gmelin, 1788)",-73.41411,-3.9528
"Thalurania furcata (J.F.Gmelin, 1788)",-73.41209,-3.95688
"Thalurania furcata (J.F.Gmelin, 1788)",-73.41553,-3.94643
"Thalurania furcata (J.F.Gmelin, 1788)",-75.50746,-9.70818
"Thalurania furcata (J.F.Gmelin, 1788)",-69.04424,-12.53276
"Thalurania furcata (J.F.Gmelin, 1788)",-52.39622,2.92922
"Thalurania furcata (J.F.Gmelin, 1788)",-49.32046,-16.83702
"Thalurania furcata (J.F.Gmelin, 1788)",-53.99758,5.48321
"Thalurania furcata (J.F.Gmelin, 1788)",-73.62389,4.24083
