sp,lon,lat
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-39.06341,-14.41654
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-39.08302,-14.30468
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-59.06078,4.14954
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-52.57256,5.09625
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-35.76645,-8.7452
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-35.87951,-9.22535
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-67.8814,3.85911
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-55.17714,5.59196
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-55.17704,5.592
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-55.17703,5.592
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-55.177,5.59202
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-55.17699,5.59206
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-52.36361,4.90715
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-67.91489,3.82939
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-67.87951,3.88312
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-38.02359,-12.55128
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-39.21852,-13.82548
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-61.14787,1.83501
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-61.71741,3.75448
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-60.6831,2.74463
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-52.64817,5.11418
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-60.09359,-3.0152
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-35.02609,-7.92289
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-35.02429,-7.95958
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-67.84306,3.80806
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-60.04163,-2.79446
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-35.94008,-9.30294
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-59.04224,4.0921
"Picumnus exilis pernambucensis J.T.Zimmer, 1947",-35.76053,-9.61206
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-52.3073,4.7216
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-65.06521,6.30252
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-61.72911,3.78046
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-67.92001,3.87584
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-59.99509,-3.09149
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-52.6163,4.97799
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-59.98058,-3.08295
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-55.02473,5.34158
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-39.54166,-15.42216
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-35.74839,-9.61828
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-35.76262,-9.61258
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-52.33835,4.32259
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-52.33053,4.33124
"Picumnus exilis buffonii Lafresnaye, 1845",-59.85,-3.06781
"Picumnus exilis buffonii Lafresnaye, 1845",-59.85032,-3.06725
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-39.002,-14.28656
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-50.87691,0.3325
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-35.71601,-9.60285
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-67.91604,3.86225
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-59.85068,-3.06632
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-48.18278,-1.18715
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-54.07085,5.37024
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-60.9585,2.3713
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-61.02312,1.92908
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-52.26189,4.86022
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-52.35857,4.8875
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-52.28785,4.71578
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-39.13434,-16.35568
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-35.18818,-8.86293
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-67.91783,3.83148
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-35.20888,-8.86754
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-52.0011,0.90017
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-52.7524,5.23349
"Picumnus exilis buffonii Lafresnaye, 1845",-60.06082,-2.8037
"Picumnus exilis buffonii Lafresnaye, 1845",-60.05318,-2.80125
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-54.09787,3.76637
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-39.0323,-14.79661
"Picumnus exilis pernambucensis J.T.Zimmer, 1947",-34.8995,-7.7762
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-60.9098,3.46013
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-53.10211,5.4001
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-35.8919,-9.83636
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-35.90716,-9.60795
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-35.80356,-9.64004
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-60.026,-2.0328
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-61.71679,3.75142
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-61.7186,3.75991
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-39.10165,-14.2024
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-39.11532,-14.20057
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-39.09011,-14.20322
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-35.0833,-7.85069
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-45.78577,-1.40981
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-35.71612,-9.60269
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-60.98524,1.38998
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-52.70766,5.11514
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-61.2323,1.78579
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-55.49572,4.64944
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-39.11256,-14.20436
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-61.18441,1.69782
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-52.28694,4.93891
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-56.47159,-1.51873
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-52.58758,5.10758
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-60.98725,1.42524
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-40.21534,-14.32966
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-52.33768,4.8082
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-39.025,-14.31803
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-55.22995,5.47156
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-39.15809,-13.62082
"Picumnus exilis buffonii Lafresnaye, 1845",-47.5569,-4.293
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-53.23477,3.92404
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-51.79335,3.82826
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-35.84252,-8.99107
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-35.79972,-9.25389
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-52.662,5.16211
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-35.74179,-9.61537
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-59.97663,-3.07662
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-36.08794,-9.16989
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-67.91437,3.8225
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-35.13605,-8.75285
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-52.25617,4.88513
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-36.0005,-9.17242
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-61.42301,3.35434
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-61.43583,3.36896
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-36.03132,-9.16011
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-35.76053,-9.613
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-35.76121,-9.61259
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-38.41879,-12.44375
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-35.85628,-8.69405
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-35.87413,-9.21624
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-59.98864,-3.09521
"Picumnus exilis pernambucensis J.T.Zimmer, 1947",-35.8554,-8.69439
"Picumnus exilis pernambucensis J.T.Zimmer, 1947",-35.85616,-8.69436
"Picumnus exilis pernambucensis J.T.Zimmer, 1947",-36.00164,-9.17179
